Car_ID,Day,Hour,Cost_EUR
Car_1,0,18:00,8.00
Car_1,0,19:00,8.00
Car_1,0,20:00,1.68
Car_1,0,,17.68
Car_1,1,18:00,8.00
Car_1,1,19:00,8.00
Car_1,1,20:00,1.68
Car_1,1,,17.68
Car_1,2,18:00,8.00
Car_1,2,19:00,8.00
Car_1,2,20:00,1.68
Car_1,2,,17.68
Car_1,3,18:00,8.00
Car_1,3,19:00,8.00
Car_1,3,20:00,1.68
Car_1,3,,17.68
Car_1,4,18:00,8.00
Car_1,4,19:00,8.00
Car_1,4,20:00,1.68
Car_1,4,,17.68
Car_1,5,18:00,8.00
Car_1,5,19:00,8.00
Car_1,5,20:00,1.68
Car_1,5,,17.68
Car_1,,Total,106.11
Car_2,0,18:00,6.00
Car_2,0,19:00,6.00
Car_2,0,20:00,0.63
Car_2,0,,12.63
Car_2,1,18:00,6.00
Car_2,1,19:00,6.00
Car_2,1,20:00,0.63
Car_2,1,,12.63
Car_2,2,18:00,6.00
Car_2,2,19:00,6.00
Car_2,2,20:00,0.63
Car_2,2,,12.63
Car_2,3,18:00,6.00
Car_2,3,19:00,6.00
Car_2,3,20:00,0.63
Car_2,3,,12.63
Car_2,4,18:00,6.00
Car_2,4,19:00,6.00
Car_2,4,20:00,0.63
Car_2,4,,12.63
Car_2,5,18:00,6.00
Car_2,5,19:00,6.00
Car_2,5,20:00,0.63
Car_2,5,,12.63
Car_2,,Total,75.79
Car_3,0,18:00,8.00
Car_3,0,19:00,1.26
Car_3,0,,9.26
Car_3,1,18:00,8.00
Car_3,1,19:00,8.00
Car_3,1,20:00,2.53
Car_3,1,,18.53
Car_3,2,18:00,8.00
Car_3,2,19:00,1.26
Car_3,2,,9.26
Car_3,3,18:00,8.00
Car_3,3,19:00,8.00
Car_3,3,20:00,2.53
Car_3,3,,18.53
Car_3,4,18:00,8.00
Car_3,4,19:00,1.26
Car_3,4,,9.26
Car_3,5,18:00,8.00
Car_3,5,19:00,8.00
Car_3,5,20:00,2.53
Car_3,5,,18.53
Car_3,,Total,83.37
Car_4,0,20:00,8.00
Car_4,0,21:00,8.00
Car_4,0,22:00,1.68
Car_4,0,,17.68
Car_4,1,21:00,8.00
Car_4,1,22:00,8.00
Car_4,1,23:00,7.58
Car_4,1,,23.58
Car_4,2,20:00,8.00
Car_4,2,21:00,8.00
Car_4,2,22:00,1.68
Car_4,2,,17.68
Car_4,3,21:00,8.00
Car_4,3,22:00,8.00
Car_4,3,23:00,7.58
Car_4,3,,23.58
Car_4,4,20:00,8.00
Car_4,4,21:00,8.00
Car_4,4,22:00,1.68
Car_4,4,,17.68
Car_4,5,21:00,8.00
Car_4,5,22:00,8.00
Car_4,5,23:00,7.58
Car_4,5,,23.58
Car_4,,Total,123.79
Car_5,0,21:00,6.00
Car_5,0,22:00,6.00
Car_5,0,23:00,6.00
Car_5,0,,18.00
Car_5,1,21:00,6.00
Car_5,1,22:00,6.00
Car_5,1,23:00,6.00
Car_5,1,,18.00
Car_5,2,21:00,6.00
Car_5,2,22:00,6.00
Car_5,2,23:00,6.00
Car_5,2,,18.00
Car_5,3,21:00,6.00
Car_5,3,22:00,6.00
Car_5,3,23:00,6.00
Car_5,3,,18.00
Car_5,4,21:00,6.00
Car_5,4,22:00,6.00
Car_5,4,23:00,6.00
Car_5,4,,18.00
Car_5,5,21:00,6.00
Car_5,5,22:00,6.00
Car_5,5,23:00,6.00
Car_5,5,18:00,6.00
Car_5,5,19:00,6.00
Car_5,5,20:00,6.00
Car_5,5,21:00,6.00
Car_5,5,22:00,6.00
Car_5,5,23:00,6.00
Car_5,5,,54.00
Car_5,,Total,144.00
